difficulty,Time,target_n,target,zone_time,click,hit,RT
Easy,0,3,1,1.133998,0,2,-1
Easy,6.359128,2,1,0.8002501,0,2,-1
Easy,12.71121,1,1,0,0,2,-1
Easy,14.97716,2,0,0,1,1,-1
Easy,21.3441,2,1,0,0,2,-1
Easy,27.71033,3,1,0.1542416,1,3,0.1542416
Easy,34.07692,2,1,0,0,2,-1
Easy,40.42743,1,1,0.1200027,1,3,0.1200027
Easy,42.84469,3,1,0,0,2,-1
Easy,0,3,1,0.2674456,1,3,0.2674456
Easy,6.365894,2,1,0,0,2,-1
Easy,9.632686,2,1,0,0,2,-1
Easy,0,2,1,0.7833722,1,3,0.7833722
Easy,6.364243,3,1,2.335218,0,2,-1
Easy,12.69789,1,1,1.987639,1,3,1.987639
Easy,16.19843,1,1,1.90048,1,3,1.90048
Easy,19.59956,2,0,0,0,0,-1
Easy,25.96507,3,1,1.436001,1,3,1.436001
Easy,32.29877,2,1,0,0,2,-1
Easy,36.66719,3,1,0.9038773,1,3,0.9038773
